Nationality,GeoCode,Deaths
Cuba,CUB,100
Mexico,MEX,100
Switzerland,CHE,100
Iceland,ISL,200
Iran,IRN,200
Ireland,IRL,200
Turkey,TUR,200
Mongolia,MNG,300
Iraq,IRQ,500
Nauru,NRU,500
Sweden,SWE,600
Brazil,BRA,2000
Luxembourg,LUX,2000
Denmark,DNK,3200
Thailand,THA,7600
Norway,NOR,9500
New Zealand,NZL,11900
South Africa,ZAF,11900
Papua New Guinea,PNG,15000
Bulgaria,BGR,25000
Albania,ALB,30000
Australia,AUS,40500
Canada,CAN,45400
Estonia,EST,50000
Portugal,PRT,55000
Slovakia,SVK,65500
Finland,FIN,97000
Ethiopia,ETH,100000
Austria,AUT,120000
Singapore,SGP,150000
Latvia,LVA,230000
Belgium,BEL,238000
Myanmar,MMR,272000
United States,USA,288001
Netherlands,NLD,301000
Czechoslovakia,CZE,325000
Greece,GRC,327550
Lithuania,LTU,350000
Korea,KOR,430500
Italy,ITA,444290
United Kingdom,GBR,450901
France,FRA,552600
Romania,ROU,800000
Hungary,HUN,804500
Philippines,PHL,807000
Yugoslavia,MKD,1027000
India,IND,2087000
Japan,JPN,2870149
Indonesia,IDN,3500000
Poland,POL,5720000
Germany,DEU,7605632
China,CHN,15000000
Soviet Union,RUS,20045724
